,,,,,,,,
,,Date | Hour Block,Purchase Bid (MWh),Sell Bid (MWh),MCV (MWh),Final Scheduled Volume (MWh),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
,19-09-2024,00 - 01,12133.40,8182.03,7479.25,7479.25,5771.65,5767.55
,,01 - 02,11473.85,9847.65,7456.20,7456.20,4597.66,4599.23
,,02 - 03,11369.00,11242.85,7390.30,7390.30,4404.66,4404.99
,,03 - 04,10917.10,11899.70,7040.77,7040.77,4055.11,4054.96
,,04 - 05,11251.23,11773.03,7309.13,7309.13,4312.91,4314.78
,,05 - 06,12083.00,11149.43,8107.68,8107.68,4548.45,4585.29
,,06 - 07,15734.90,12015.75,10939.40,10939.40,5500.16,5500.27
,,07 - 08,15650.83,15411.88,11324.90,11324.90,4130.47,4151.12
,,08 - 09,12279.88,19404.88,9330.38,9330.38,3122.34,3134.92
,,09 - 10,11415.50,20729.43,8540.03,8540.03,2923.95,2923.67
,,10 - 11,11417.70,21433.18,7997.97,7997.97,2608.74,2609.26
,,11 - 12,10868.48,21270.28,7612.37,7612.37,2499.87,2499.88
,,12 - 13,11207.18,22293.45,7890.98,7890.98,2518.83,2519.04
,,13 - 14,10814.85,22419.48,7743.46,7743.46,2437.49,2436.43
,,14 - 15,11805.10,20950.18,8177.93,8177.93,2676.80,2679.70
,,15 - 16,13131.85,18408.53,8713.13,8713.13,3645.61,3651.22
,,16 - 17,15591.28,15311.60,10409.58,10409.58,4194.92,4198.19
,,17 - 18,14535.03,11606.83,9375.60,9375.60,4515.35,4517.62
,,18 - 19,13682.70,8084.90,7468.95,7468.95,7228.35,7223.88
,,19 - 20,14042.30,5833.70,5816.69,5816.69,10000.00,10000.00
,,20 - 21,11557.40,6070.23,6053.12,6053.12,10000.00,10000.00
,,21 - 22,10699.25,5686.73,5669.63,5669.63,10000.00,10000.00
,,22 - 23,10585.65,6031.78,5784.67,5784.67,8249.95,8272.33
,,23 - 24,10426.15,6154.75,6095.73,6095.73,9874.89,9871.84
,20-09-2024,00 - 01,15648.10,10896.28,9799.80,9799.80,6621.10,6621.17
,,01 - 02,14770.93,11941.10,9707.31,9707.31,5285.08,5286.00
,,02 - 03,13852.93,12773.70,8974.53,8974.53,4996.43,4996.43
,,03 - 04,13259.18,12741.85,8523.20,8523.20,4682.15,4681.24
,,04 - 05,13507.98,12430.15,8647.04,8647.04,4874.55,4880.48
,,05 - 06,14437.45,12214.98,9500.53,9500.53,5071.07,5076.39
,,06 - 07,17952.28,13503.63,12196.63,11215.75,6044.04,6038.73
,,07 - 08,18335.48,17702.13,13273.76,12531.85,4462.37,4488.26
,,08 - 09,14101.68,20008.03,10714.93,10501.87,3243.30,3250.59
,,09 - 10,11682.50,21279.28,8970.00,8963.10,2898.36,2898.35
,,10 - 11,11276.13,22205.80,7805.08,7809.46,2697.61,2700.17
,,11 - 12,10319.53,22310.33,7105.08,7105.08,2520.04,2520.44
,,12 - 13,10222.40,22015.80,6998.77,6998.77,2554.77,2555.74
,,13 - 14,10332.13,22888.05,7157.93,7157.93,2542.58,2543.04
,,14 - 15,12558.35,20995.15,8747.88,8746.26,2957.86,2965.32
,,15 - 16,15117.88,18993.50,10457.18,10455.55,3478.56,3482.25
,,16 - 17,17993.85,16880.70,11958.50,11962.34,4345.75,4369.41
,,17 - 18,17697.58,14188.20,11199.16,11146.16,4899.29,4896.98
,,18 - 19,16398.50,10034.78,9224.83,9220.58,8039.93,7932.97
,,19 - 20,15651.45,5928.65,5928.64,5928.64,10000.00,10000.00
,,20 - 21,13590.70,6125.73,6125.62,6125.62,10000.00,10000.00
,,21 - 22,13724.28,5860.45,5860.35,5860.35,10000.00,10000.00
,,22 - 23,13898.48,6839.63,6839.52,6839.53,10000.00,10000.00
,,23 - 24,14055.45,7537.00,7536.99,7537.00,10000.00,10000.00
,21-09-2024,00 - 01,14730.70,9020.65,8918.90,8918.90,9500.14,9470.76
,,01 - 02,13222.48,10264.43,8981.35,8981.35,6425.42,6421.24
,,02 - 03,12841.73,11177.15,9084.90,9084.90,5295.48,5298.97
,,03 - 04,12218.20,11279.78,8739.83,8739.83,4526.19,4531.61
,,04 - 05,12076.88,11506.68,8684.70,8684.70,4204.37,4206.99
,,05 - 06,12085.28,11405.10,8712.21,8712.36,4300.43,4309.06
,,06 - 07,15615.65,12285.98,10974.12,11201.14,5875.26,5862.39
,,07 - 08,16644.93,16394.08,12681.16,12474.92,4053.69,4067.07
,,,,,,,,
,,Date | Hour Block,Purchase Bid (MWh),Sell Bid (MWh),MCV (MWh),Final Scheduled Volume (MWh),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
,21-09-2024,08 - 09,13262.53,19061.88,9904.80,9907.43,3193.72,3199.15
,,09 - 10,12015.83,21190.95,9064.40,9061.85,3057.23,3056.24
,,10 - 11,11932.20,22843.85,8517.05,8517.05,2749.48,2749.36
,,11 - 12,12473.93,23912.68,8819.53,8819.53,3006.55,3008.01
,,12 - 13,12307.13,24354.45,8627.97,8627.97,3041.95,3042.11
,,13 - 14,12134.90,23808.50,8724.53,8724.53,2921.95,2921.80
,,14 - 15,14000.25,22430.40,9799.54,9799.54,3132.01,3133.91
,,15 - 16,15373.95,18985.18,10615.53,10614.60,3655.31,3656.65
,,16 - 17,17169.90,15902.40,11679.80,11623.06,3930.24,3930.50
,,17 - 18,16633.25,12152.28,9940.15,9940.15,4736.41,4674.30
,,18 - 19,15997.68,7617.95,7210.76,7210.76,8675.29,8605.75
,,19 - 20,17371.30,4998.25,4998.25,4998.25,10000.00,10000.00
,,20 - 21,13819.85,4915.38,4915.27,4915.26,10000.00,10000.00
,,21 - 22,12852.23,4734.08,4733.97,4733.97,10000.00,10000.00
,,22 - 23,12837.90,5308.33,5308.22,5308.23,10000.00,10000.00
,,23 - 24,12840.65,5533.75,5533.75,5533.75,10000.00,10000.00
,22-09-2024,00 - 01,10932.53,9163.73,7327.41,7327.41,5125.16,5135.62
,,01 - 02,10746.28,9726.40,7338.33,7338.33,4494.48,4494.77
,,02 - 03,10380.50,10595.95,6994.31,6994.31,4143.83,4145.06
,,03 - 04,9668.28,10219.78,6456.42,6456.42,4018.41,4018.78
