,,,,,,,,,
,,,Date | Hour | Time Block,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
,24-09-2024,1,00:00 - 00:15,13863.70,6717.90,6717.86,6713.90,10000.00,10000.00
,,,00:15 - 00:30,13412.80,6704.10,6704.10,6700.10,10000.00,10000.00
,,,00:30 - 00:45,12975.00,6767.60,6679.10,6541.70,9999.54,9999.54
,,,00:45 - 01:00,12415.00,6822.10,6160.00,6160.00,6926.31,6926.31
,,2,01:00 - 01:15,12295.90,7343.40,6485.00,6520.10,5400.85,5400.85
,,,01:15 - 01:30,11770.80,7197.90,6315.00,6372.10,5400.71,5400.71
,,,01:30 - 01:45,11337.00,7409.10,6504.20,6516.60,5400.46,5400.46
,,,01:45 - 02:00,10942.10,7489.60,6562.70,6342.50,5400.31,5400.31
,,3,02:00 - 02:15,10911.10,7785.70,6705.50,6298.20,5400.25,5400.25
,,,02:15 - 02:30,10881.40,8087.60,6985.40,6535.80,5400.13,5400.13
,,,02:30 - 02:45,10558.30,8008.90,6890.70,6373.00,5400.05,5400.05
,,,02:45 - 03:00,10514.60,8060.00,6951.80,6450.30,5400.01,5400.01
,,4,03:00 - 03:15,10817.00,8267.70,7387.00,6098.70,5100.92,5100.92
,,,03:15 - 03:30,10577.90,8110.30,7202.70,5813.50,5059.56,5059.56
,,,03:30 - 03:45,10216.20,8122.10,6960.20,5738.20,4339.92,4339.92
,,,03:45 - 04:00,9937.60,8229.40,6686.80,5842.90,4300.07,4300.07
,,5,04:00 - 04:15,9648.60,8163.60,6406.40,5773.90,4228.99,4228.99
,,,04:15 - 04:30,9657.00,8158.50,6413.70,5707.70,4230.05,4230.05
,,,04:30 - 04:45,9852.60,8223.60,6594.40,5905.40,4339.07,4339.07
,,,04:45 - 05:00,9894.00,8193.90,6636.10,5866.60,4339.25,4339.25
,,6,05:00 - 05:15,9275.20,8678.20,6109.00,6109.00,4110.56,4110.56
,,,05:15 - 05:30,9668.40,8557.60,6444.50,6444.50,4208.90,4208.90
,,,05:30 - 05:45,10070.40,8663.30,6778.70,6778.70,4270.89,4270.89
,,,05:45 - 06:00,10908.60,8883.50,7612.20,7612.20,4770.82,4770.82
,,7,06:00 - 06:15,11917.30,8882.20,7844.30,7794.30,5200.07,5200.07
,,,06:15 - 06:30,12816.90,9732.00,8336.10,8336.10,5200.19,5200.19
,,,06:30 - 06:45,13866.30,10887.90,9545.00,9545.00,5200.13,5200.13
,,,06:45 - 07:00,14163.60,11408.30,10135.90,10135.90,5200.05,5200.05
,,8,07:00 - 07:15,14616.80,12356.50,10793.59,10794.40,4999.44,4999.44
,,,07:15 - 07:30,14205.10,12822.10,10602.60,10603.40,4339.47,4339.47
,,,07:30 - 07:45,13432.70,13528.50,9870.20,9871.00,4060.09,4060.09
,,,07:45 - 08:00,12265.80,14189.80,8912.60,8913.40,3689.37,3689.37
,,9,08:00 - 08:15,12254.90,15550.90,8626.40,8627.20,3621.93,3621.93
